geo_id,geoname_id,name,latitude,longitude,continent,status
317,686590,Aiud,46.31006,23.72128,Europe/Bucharest,0
318,3038354,Aix-en-Provence,43.5283,5.44973,Europe/Paris,0
319,3038350,Aix-les-Bains,45.68338,5.92241,Europe/Paris,0
320,1279186,Aizawl,23.72894,92.71791,Asia/Kolkata,0
321,361702,Aja,30.94162,31.29039,Africa/Cairo,0
322,3038334,Ajaccio,41.92723,8.73462,Europe/Paris,0
323,3533126,Ajalpan,18.37831,-97.25767,America/Mexico_City,0
324,2351470,Ajaokuta,7.56229,6.65497,Africa/Lagos,0
325,5882873,Ajax,43.85012,-79.03288,America/Toronto,0
326,89113,Ajdabiya,30.75545,20.22625,Africa/Tripoli,0
327,3056357,Ajka,47.10196,17.55892,Europe/Budapest,0
328,292932,Ajman,25.41111,55.43504,Asia/Dubai,0
329,1279159,Ajmer,26.44976,74.64116,Asia/Kolkata,0
330,1279158,Ajnala,31.84473,74.76295,Asia/Kolkata,0
331,1278094,Ajodhya,26.79909,82.2047,Asia/Kolkata,0
332,1279154,Ajra,16.11601,74.21097,Asia/Kolkata,0
333,1512086,Akademgorodok,54.8523,83.106,Asia/Novosibirsk,0
334,8504958,Akademicheskoe,60.01375,30.39471,Europe/Moscow,0
335,1279147,Akalkot,17.52532,76.20611,Asia/Kolkata,0
336,1279144,Akaltara,22.02463,82.42641,Asia/Kolkata,0
337,1847966,Akashi,34.63333,134.98333,Asia/Tokyo,0
338,144410,Akbarabad,29.2464,52.7793,Asia/Tehran,0
339,1279134,Akbarpur,26.42953,82.53431,Asia/Kolkata,0
340,1279135,Akbarpur,26.38371,79.94926,Asia/Kolkata,0
341,2507646,Akbou,36.4575,4.53494,Africa/Algiers,0
342,752627,Akcaabat,41.02121,39.57146,Europe/Istanbul,0
343,324944,Akcakale,36.71111,38.9475,Europe/Istanbul,0
344,752584,Akcakoca,41.08663,31.11623,Europe/Istanbul,0
345,324768,Akdagmadeni,39.66028,35.88361,Europe/Istanbul,0
346,2727234,Akersberga,59.47944,18.29967,Europe/Stockholm,0
347,220448,Aketi,2.73877,23.78326,Africa/Lubumbashi,0
348,615860,Akhaltsikhe,41.63901,42.98262,Asia/Tbilisi,0
349,324698,Akhisar,38.91852,27.84006,Europe/Istanbul,0
350,361661,Akhmim,26.56217,31.74503,Africa/Cairo,0
351,583798,Akhtubinsk,48.27955,46.17217,Europe/Volgograd,0
352,583785,Akhtyrskiy,44.8546,38.3031,Europe/Moscow,0
353,1865449,Aki,33.5,133.9,Asia/Tokyo,0
354,2296564,Akim Oda,5.92665,-0.98577,Africa/Accra,0
355,2113126,Akita,39.71667,140.11667,Asia/Tokyo,1
356,2113719,Akitashi,39.71667,140.1,Asia/Tokyo,0
357,1279123,Akividu,16.58225,81.38112,Asia/Kolkata,0
358,7302805,Akkarampalle,13.65,79.42,Asia/Kolkata,0
359,1526797,Akkol',53.29617,69.59997,Asia/Almaty,0
360,1279115,Aklera,24.41288,76.56719,Asia/Kolkata,0
361,1279105,Akola,20.70957,76.9981,Asia/Kolkata,0
362,2235776,Akonolinga,3.76667,12.25,Africa/Douala,0
363,1184752,Akora,34.00361,72.12611,Asia/Karachi,0
364,1279094,Akot,21.0963,77.0588,Asia/Kolkata,0
365,2473913,Akouda,35.8691,10.5653,Africa/Tunis,0
366,2293107,Akoupe,6.38423,-3.88759,Africa/Abidjan,0
367,5145476,Akron,41.08144,-81.51901,America/New_York,0
368,324496,Aksaray,38.37255,34.02537,Europe/Istanbul,0
369,583673,Aksay,47.25838,39.86675,Europe/Moscow,0
